time,x,y,z,heading
0.00,-20.000,1.550,3.000,0.0000
0.30,-19.915,1.559,3.151,0.5149
0.60,-19.829,1.569,3.301,0.5158
0.90,-19.744,1.578,3.451,0.5168
1.20,-19.659,1.588,3.601,0.5179
1.50,-19.574,1.598,3.749,0.5192
1.80,-19.489,1.607,3.897,0.5207
2.10,-19.404,1.617,4.045,0.5223
2.40,-19.320,1.626,4.191,0.5240
2.70,-19.236,1.636,4.336,0.5259
3.00,-19.152,1.646,4.480,0.5279
3.30,-19.068,1.655,4.623,0.5301
3.60,-18.984,1.665,4.765,0.5325
3.90,-18.901,1.675,4.905,0.5350
4.20,-18.818,1.684,5.044,0.5378
4.50,-18.736,1.694,5.181,0.5407
4.80,-18.654,1.704,5.316,0.5438
5.11,-18.573,1.713,5.450,0.5472
5.41,-18.492,1.723,5.582,0.5508
5.71,-18.411,1.733,5.712,0.5546
6.01,-18.331,1.742,5.840,0.5586
6.31,-18.252,1.752,5.966,0.5630
6.61,-18.173,1.762,6.089,0.5676
6.91,-18.095,1.771,6.211,0.5725
7.21,-18.017,1.781,6.330,0.5777
7.51,-17.940,1.790,6.447,0.5832
7.81,-17.864,1.800,6.561,0.5892
8.11,-17.788,1.809,6.673,0.5955
8.41,-17.713,1.819,6.781,0.6022
8.71,-17.639,1.828,6.888,0.6094
9.01,-17.566,1.837,6.991,0.6171
9.31,-17.493,1.846,7.092,0.6253
9.61,-17.421,1.856,7.190,0.6340
9.91,-17.350,1.865,7.284,0.6434
10.21,-17.280,1.874,7.376,0.6535
10.51,-17.211,1.883,7.464,0.6643
10.81,-17.142,1.892,7.550,0.6759
11.11,-17.075,1.901,7.632,0.6884
11.41,-17.008,1.910,7.711,0.7018
11.71,-16.942,1.919,7.786,0.7164
12.01,-16.878,1.927,7.858,0.7321
12.31,-16.814,1.936,7.927,0.7491
12.61,-16.751,1.945,7.992,0.7676
12.91,-16.689,1.953,8.053,0.7877
13.21,-16.628,1.962,8.111,0.8096
13.51,-16.569,1.970,8.166,0.8335
13.81,-16.510,1.978,8.216,0.8597
14.11,-16.452,1.986,8.263,0.8885
14.41,-16.396,1.994,8.306,0.9201
14.71,-16.340,2.002,8.346,0.9549
15.02,-16.285,2.010,8.381,0.9933
15.32,-16.232,2.018,8.413,1.0357
15.62,-16.180,2.026,8.441,1.0826
15.92,-16.128,2.033,8.464,1.1345
16.22,-16.078,2.040,8.484,1.1918
16.52,-16.029,2.048,8.500,1.2549
16.82,-15.981,2.055,8.512,1.3242
17.12,-15.935,2.062,8.521,1.3997
17.42,-15.889,2.069,8.525,1.4814
17.72,-15.844,2.076,8.525,1.5688
18.02,-15.801,2.083,8.521,1.6609
18.32,-15.759,2.089,8.513,1.7565
18.62,-15.718,2.096,8.501,1.8538
18.92,-15.678,2.102,8.485,1.9510
19.22,-15.639,2.108,8.465,2.0463
19.52,-15.601,2.114,8.441,2.1379
19.82,-15.565,2.120,8.413,2.2247
20.12,-15.529,2.126,8.381,2.3057
20.42,-15.495,2.132,8.345,2.3806
20.72,-15.462,2.137,8.305,2.4491
21.02,-15.430,2.143,8.261,2.5115
21.32,-15.399,2.148,8.213,2.5682
21.62,-15.369,2.153,8.161,2.6194
21.92,-15.340,2.158,8.106,2.6657
22.22,-15.313,2.163,8.046,2.7077
22.52,-15.286,2.168,7.983,2.7456
22.82,-15.261,2.172,7.915,2.7800
23.12,-15.236,2.176,7.844,2.8112
23.42,-15.213,2.181,7.770,2.8395
23.72,-15.191,2.185,7.691,2.8654
24.02,-15.170,2.189,7.609,2.8890
24.32,-15.149,2.192,7.523,2.9106
24.62,-15.130,2.196,7.434,2.9304
24.92,-15.112,2.199,7.341,2.9487
25.23,-15.095,2.202,7.245,2.9654
25.53,-15.079,2.205,7.145,2.9809
25.83,-15.064,2.208,7.042,2.9952
26.13,-15.049,2.211,6.935,3.0084
26.43,-15.036,2.214,6.826,3.0207
26.73,-15.024,2.216,6.713,3.0320
27.03,-15.012,2.218,6.596,3.0426
27.33,-15.001,2.220,6.477,3.0524
27.63,-14.992,2.222,6.355,3.0616
27.93,-14.983,2.224,6.230,3.0701
28.23,-14.974,2.226,6.101,3.0781
28.53,-14.967,2.227,5.970,3.0856
28.83,-14.961,2.228,5.837,3.0925
29.13,-14.955,2.229,5.700,3.0990
29.43,-14.950,2.230,5.561,3.1051
29.73,-14.945,2.231,5.420,3.1108
30.03,-14.942,2.231,5.276,3.1161
30.33,-14.939,2.232,5.129,3.1211
30.63,-14.936,2.232,4.980,3.1257
30.93,-14.935,2.232,4.829,3.1300
31.23,-14.933,2.232,4.676,3.1341
31.53,-14.933,2.231,4.521,3.1379
31.83,-14.933,2.231,4.364,3.1414
32.13,-14.933,2.230,4.205,-3.1385
32.43,-14.934,2.229,4.044,-3.1355
32.73,-14.936,2.228,3.882,-3.1326
33.03,-14.938,2.227,3.718,-3.1300
33.33,-14.940,2.226,3.552,-3.1276
33.63,-14.943,2.224,3.385,-3.1254
33.93,-14.946,2.223,3.217,-3.1234
34.23,-14.949,2.221,3.047,-3.1215
34.53,-14.953,2.219,2.876,-3.1199
34.83,-14.957,2.217,2.704,-3.1184
35.14,-14.961,2.214,2.532,-3.1171
35.44,-14.965,2.212,2.358,-3.1159
35.74,-14.970,2.209,2.183,-3.1149
36.04,-14.975,2.207,2.008,-3.1140
36.34,-14.980,2.204,1.833,-3.1133
36.64,-14.985,2.200,1.656,-3.1128
36.94,-14.990,2.197,1.480,-3.1124
37.24,-14.995,2.194,1.303,-3.1121
37.54,-15.001,2.190,1.126,-3.1120
37.84,-15.006,2.187,0.949,-3.1120
38.14,-15.011,2.183,0.772,-3.1122
38.44,-15.016,2.179,0.595,-3.1125
38.74,-15.021,2.175,0.418,-3.1130
39.04,-15.026,2.170,0.241,-3.1136
39.34,-15.031,2.166,0.065,-3.1144
